G,Point Latency,Time Received,Time Captured,MPH,Address,I0,Engine On,I1,I2,I3,I4,I5,GPS,Event Code,Sat,HDOP,RSSI,C,F,Seq,Index,Lat, Lon,Triggered By,Δ Odo hm,Δ Eng min
LA,13 secs,2020-03-07 8:46.36am,2020-03-07 8:46.23am,5,25 S 11th Ave Brighton CO 80601,+,+,-,-,-,-,-,3,0,16,0.6,-49,0,0,2549,Serial,39.9862202,-104.8083052,,0,0
LA,9 secs,2020-03-07 8:46.31am,2020-03-07 8:46.22am,5,25 S 11th Ave Brighton CO 80601,+,+,-,-,-,-,-,3,37,16,0.6,-49,0,0,2548,Serial,39.9862202,-104.8083052,Ignition On,0,0
LA,9 secs,2020-03-07 7:35.25am,2020-03-07 7:35.16am,0,38 S 11th Ave Brighton CO 80601,-,-,-,-,-,-,-,3,0,16,0.6,-57,0,0,2547,Serial,39.9864106,-104.8081644,,0,0
LA,9 secs,2020-03-07 7:33.25am,2020-03-07 7:33.16am,0,38 S 11th Ave Brighton CO 80601,-,-,-,-,-,-,-,3,0,15,0.8,-51,0,0,2546,Serial,39.98642,-104.8081885,,0,0
LA,10 secs,2020-03-07 7:31.25am,2020-03-07 7:31.15am,0,38 S 11th Ave Brighton CO 80601,-,-,-,-,-,-,-,3,38,17,0.6,-46,0,0,2545,Serial,39.986428,-104.8081738,Ignition Off,0,1
LA,8 secs,2020-03-07 7:31.10am,2020-03-07 7:31.02am,0,38 S 11th Ave Brighton CO 80601,+,+,-,-,-,-,-,3,0,16,0.6,-41,0,0,2544,Serial,39.986428,-104.8081724,,0,1
LA,10 secs,2020-03-07 7:30.15am,2020-03-07 7:30.05am,1,38 S 11th Ave Brighton CO 80601,+,+,-,-,-,-,-,3,2,18,0.6,-54,0,0,2543,Serial,39.986424,-104.8081523,Stopped Moving,3,1
LA,8 secs,2020-03-07 7:29.10am,2020-03-07 7:29.02am,21,1010 E Bridge St [Co-7] Brighton CO 80601,+,+,-,-,-,-,-,3,8,15,0.6,-56,0,0,2542,Serial,39.9867593,-104.80959,Moving,10,1
LA,10 secs,2020-03-07 7:27.30am,2020-03-07 7:27.20am,10,168 E Bridge St [Co-7] Brighton CO 80601,+,+,-,-,-,-,-,3,5,19,0.6,-71,0,0,2541,Serial,39.986825,-104.8214708,Started Moving,0,1
LA,8 secs,2020-03-07 7:27.10am,2020-03-07 7:27.02am,0,117 E Bridge St [Co-7] Brighton CO 80601,+,+,-,-,-,-,-,3,0,19,0.6,-80,0,0,2540,Serial,39.9868183,-104.8217377,,0,0
