G,Point Latency,Time Received,Time Captured,MPH,Address,I0,Engine On,I1,I2,I3,I4,I5,GPS,Event Code,Sat,HDOP,RSSI,C,F,Seq,Index,Lat, Lon,Triggered By,Δ Odo hm,Δ Eng min
TX,6 secs,2020-03-09 11:23.10am,2020-03-09 11:23.04am,61,I-94 Union Pier MI 49129,+,+,-,-,-,-,-,3,8,6,1.5,-68,0,0,303,Serial,41.8202544,-86.6882026,Moving,36,2
TX,6 secs,2020-03-09 11:21.10am,2020-03-09 11:21.04am,63,I-94 Three Oaks MI 49128,+,+,-,-,-,-,-,3,8,6,1.7,-74,0,0,302,Serial,41.8390661,-86.6549392,Moving,35,2
TX,26 secs,2020-03-09 11:19.30am,2020-03-09 11:19.04am,64,I-94 Three Oaks MI 49128,+,+,-,-,-,-,-,3,8,6,2,-87,0,0,301,Serial,41.8573078,-86.621783,Moving,35,2
TX,6 secs,2020-03-09 11:17.10am,2020-03-09 11:17.04am,64,I-94 Sawyer MI 49125,+,+,-,-,-,-,-,3,8,10,0.8,-57,0,0,300,Serial,41.8814517,-86.6017496,Moving,35,2
TX,5 secs,2020-03-09 11:15.09am,2020-03-09 11:15.04am,63,I-94 Bridgman MI 49106,+,+,-,-,-,-,-,3,8,6,1.6,-70,0,0,299,Serial,41.9082966,-86.5825651,Moving,35,2
TX,5 secs,2020-03-09 11:13.09am,2020-03-09 11:13.04am,67,I-94 Bridgman MI 49106,+,+,-,-,-,-,-,3,8,6,1.6,-49,0,0,298,Serial,41.9359891,-86.5715224,Moving,35,2
TX,5 secs,2020-03-09 11:11.09am,2020-03-09 11:11.04am,64,I-94 Bridgman MI 49106,+,+,-,-,-,-,-,3,8,7,1.2,-69,0,0,297,Serial,41.9641469,-86.5537367,Moving,34,2
TX,4 secs,2020-03-09 11:09.08am,2020-03-09 11:09.04am,63,I-94 Stevensville MI 49127,+,+,-,-,-,-,-,3,8,4,4.3,-63,0,0,296,Serial,41.992758,-86.5388438,Moving,35,2
TX,5 secs,2020-03-09 11:07.09am,2020-03-09 11:07.04am,66,I-94 Stevensville MI 49127,+,+,-,-,-,-,-,3,8,8,1.5,-77,0,0,295,Serial,42.0227693,-86.5299026,Moving,36,2
TX,5 secs,2020-03-09 11:05.09am,2020-03-09 11:05.04am,61,I-94 Stevensville MI 49127,+,+,-,-,-,-,-,3,8,10,1,-74,0,0,294,Serial,42.0427705,-86.4987032,Moving,34,2
TX,5 secs,2020-03-09 11:03.09am,2020-03-09 11:03.04am,64,I-94 St Joseph MI 49085,+,+,-,-,-,-,-,3,8,6,2.4,-66,0,0,293,Serial,42.0575294,-86.4638814,Moving,32,1
TX,8 secs,2020-03-09 11:01.24am,2020-03-09 11:01.16am,60,I-94 Benton Harbor MI 49022,+,+,-,-,-,-,-,3,8,4,2.2,-55,0,0,292,Serial,42.0706051,-86.4312523,Moving,38,3
TX,5 secs,2020-03-09 10:59.09am,2020-03-09 10:59.04am,64,I-94 [I-94/Us-31] Benton Harbor MI 49022,+,+,-,-,-,-,-,3,8,8,1.2,-75,0,0,291,Serial,42.0971577,-86.4050565,Moving,35,2
TX,5 secs,2020-03-09 10:57.09am,2020-03-09 10:57.04am,59,I-94 [I-94/Us-31] Benton Harbor MI 49022,+,+,-,-,-,-,-,3,8,9,1,-80,0,0,290,Serial,42.1239744,-86.3842224,Moving,35,2
TX,4 secs,2020-03-09 10:55.08am,2020-03-09 10:55.04am,64,Gerald R Ford Fwy [I-196/Us-31] Benton Harbor MI 49022,+,+,-,-,-,-,-,3,8,7,1.3,-77,0,0,289,Serial,42.1498443,-86.3684215,Moving,36,2
TX,6 secs,2020-03-09 10:53.09am,2020-03-09 10:53.03am,61,Gerald R Ford Fwy [I-196/Us-31] Benton Harbor MI 49022,+,+,-,-,-,-,-,3,8,9,1.2,-45,0,0,288,Serial,42.1801559,-86.3790109,Moving,34,2
TX,6 secs,2020-03-09 10:51.09am,2020-03-09 10:51.03am,63,Gerald R Ford Fwy [I-196/Us-31] Coloma MI 49038,+,+,-,-,-,-,-,3,8,7,1.3,-55,0,0,287,Serial,42.2101457,-86.3687139,Moving,35,2
TX,5 secs,2020-03-09 10:49.09am,2020-03-09 10:49.04am,62,Gerald R Ford Fwy [I-196/Us-31] Coloma MI 49038,+,+,-,-,-,-,-,3,8,6,1.3,-61,0,0,286,Serial,42.2387086,-86.3588072,Moving,35,2
TX,5 secs,2020-03-09 10:47.09am,2020-03-09 10:47.04am,61,Gerald R Ford Fwy [I-196/Us-31] Coloma MI 49038,+,+,-,-,-,-,-,3,8,7,1.2,-44,0,0,285,Serial,42.2626124,-86.3342837,Moving,34,2
TX,5 secs,2020-03-09 10:45.09am,2020-03-09 10:45.04am,61,Gerald R Ford Fwy [I-196/Us-31] Covert MI 49043,+,+,-,-,-,-,-,3,8,4,3.2,-89,0,0,284,Serial,42.2905342,-86.3174529,Moving,34,2
TX,5 secs,2020-03-09 10:43.09am,2020-03-09 10:43.04am,64,Gerald R Ford Fwy [I-196/Us-31] Covert MI 49043,+,+,-,-,-,-,-,3,8,6,1.3,-55,0,0,283,Serial,42.3181462,-86.299478,Moving,36,2
TX,5 secs,2020-03-09 10:41.09am,2020-03-09 10:41.04am,62,Gerald R Ford Fwy [I-196/Us-31] South Haven MI 49090,+,+,-,-,-,-,-,3,8,8,1.2,-77,0,0,282,Serial,42.3481065,-86.2881028,Moving,34,2
TX,3 secs,2020-03-09 10:39.07am,2020-03-09 10:39.04am,64,Gerald R Ford Fwy [I-196/Us-31] South Haven MI 49090,+,+,-,-,-,-,-,3,8,10,1.1,-75,0,0,281,Serial,42.3722397,-86.2631328,Moving,35,2
TX,21 secs,2020-03-09 10:37.25am,2020-03-09 10:37.04am,63,Gerald R Ford Fwy [I-196/Us-31] South Haven MI 49090,+,+,-,-,-,-,-,3,8,11,0.8,-70,0,0,280,Serial,42.4021906,-86.252648,Moving,34,2
TX,3 secs,2020-03-09 10:35.07am,2020-03-09 10:35.04am,59,Gerald R Ford Fwy [I-196/Us-31] South Haven MI 49090,+,+,-,-,-,-,-,3,8,9,1.2,-68,0,0,279,Serial,42.4328321,-86.251032,Moving,35,2
TX,6 secs,2020-03-09 10:33.09am,2020-03-09 10:33.03am,59,Gerald R Ford Fwy [I-196/Us-31] South Haven MI 49090,+,+,-,-,-,-,-,3,8,9,1.2,-59,0,0,278,Serial,42.4605367,-86.2314425,Moving,35,2
TX,5 secs,2020-03-09 10:31.09am,2020-03-09 10:31.04am,63,Gerald R Ford Fwy [I-196/Us-31] South Haven MI 49090,+,+,-,-,-,-,-,3,8,9,1.5,-84,0,0,277,Serial,42.4891062,-86.2223659,Moving,34,2
TX,6 secs,2020-03-09 10:29.09am,2020-03-09 10:29.03am,64,Gerald R Ford Fwy [I-196/Us-31] Fennville MI 49408,+,+,-,-,-,-,-,3,8,9,1,-82,0,0,276,Serial,42.5199302,-86.2185129,Moving,35,2
TX,5 secs,2020-03-09 10:27.09am,2020-03-09 10:27.04am,63,Gerald R Ford Fwy [I-196/Us-31] Fennville MI 49408,+,+,-,-,-,-,-,3,8,10,1.1,-72,0,0,275,Serial,42.5506602,-86.2194597,Moving,34,2
TX,5 secs,2020-03-09 10:25.09am,2020-03-09 10:25.04am,62,Gerald R Ford Fwy [I-196/Us-31] Fennville MI 49408,+,+,-,-,-,-,-,3,8,8,1.2,-56,0,0,274,Serial,42.5810309,-86.2158776,Moving,34,2
TX,5 secs,2020-03-09 10:23.09am,2020-03-09 10:23.04am,62,Gerald R Ford Fwy [I-196/Us-31] Fennville MI 49408,+,+,-,-,-,-,-,3,8,8,1.2,-77,0,0,273,Serial,42.6116563,-86.2194597,Moving,35,2
TX,5 secs,2020-03-09 10:21.09am,2020-03-09 10:21.04am,60,Gerald R Ford Fwy [I-196/Us-31] Douglas MI 49406,+,+,-,-,-,-,-,3,8,6,1.5,-85,0,0,272,Serial,42.6354113,-86.1945581,Moving,35,2
TX,5 secs,2020-03-09 10:19.09am,2020-03-09 10:19.04am,64,Gerald R Ford Fwy [I-196/Us-31] Saugatuck MI 49453,+,+,-,-,-,-,-,3,8,7,1.8,-60,0,0,271,Serial,42.6627685,-86.1777151,Moving,34,2
TX,5 secs,2020-03-09 10:17.09am,2020-03-09 10:17.04am,63,Gerald R Ford Fwy [I-196/Us-31] Holland MI 49423,+,+,-,-,-,-,-,3,8,8,1.1,-77,0,0,270,Serial,42.6921414,-86.1706448,Moving,35,2
TX,5 secs,2020-03-09 10:15.09am,2020-03-09 10:15.04am,66,Gerald R Ford Fwy [I-196/Us-31] Holland MI 49423,+,+,-,-,-,-,-,3,8,9,1.2,-79,0,0,269,Serial,42.7205728,-86.1562508,Moving,35,2
TX,6 secs,2020-03-09 10:13.09am,2020-03-09 10:13.03am,63,Gerald R Ford Fwy [I-196] Holland MI 49423,+,+,-,-,-,-,-,3,8,7,1.1,-61,0,0,268,Serial,42.7364086,-86.1232261,Moving,34,2
