G,Point Latency,Time Received,Time Captured,MPH,Address,I0,Engine On,I1,I2,I3,I4,I5,GPS,Event Code,Sat,HDOP,RSSI,C,F,Seq,Index,Lat, Lon,Triggered By,? Odo hm,? Eng min
TX,12 secs,2020-03-10 12:13.12pm,2020-03-10 12:13.24pm,72,I-40 [I-40/Us-421] Greensboro NC 27409,+,+,-,-,-,-,-,3,8,17,0.6,-72,0,0,3172,Serial,36.0896287,-79.9884732,Moving,39,2
TX,13 secs,2020-03-10 12:11.11pm,2020-03-10 12:11.24pm,72,I-40 Kernersville NC 27284,+,+,-,-,-,-,-,3,8,16,0.6,-67,0,0,3171,Serial,36.0938559,-80.0293031,Moving,38,2
TX,12 secs,2020-03-10 12:09.12pm,2020-03-10 12:09.24pm,69,I-40 Kernersville NC 27284,+,+,-,-,-,-,-,3,8,15,0.6,-77,0,0,3170,Serial,36.0843112,-80.0696006,Moving,38,2
TX,9 secs,2020-03-10 12:07.33pm,2020-03-10 12:07.24pm,71,I-40 Kernersville NC 27284,+,+,-,-,-,-,-,3,8,17,0.6,-73,0,0,3169,Serial,36.0750107,-80.1082473,Moving,39,2
TX,12 secs,2020-03-10 12:05.12pm,2020-03-10 12:05.24pm,72,I-40 Winston-Salem NC 27107,+,+,-,-,-,-,-,3,8,15,0.6,-78,0,0,3168,Serial,36.0721675,-80.1500951,Moving,39,2
TX,12 secs,2020-03-10 12:03.12pm,2020-03-10 12:03.24pm,69,I-40 Winston-Salem NC 27107,+,+,-,-,-,-,-,3,8,16,0.6,-59,0,0,3167,Serial,36.0627758,-80.1901204,Moving,35,2
TX,12 secs,2020-03-10 12:01.12pm,2020-03-10 12:01.24pm,48,I-40 [I-40/Us-311] Winston-Salem NC 27107,+,+,-,-,-,-,-,3,8,16,0.6,-66,0,0,3166,Serial,36.0619751,-80.2273105,Moving,21,2
TX,13 secs,2020-03-10 11:59.11am,2020-03-10 11:59.24am,56,John M Gold Fwy [Us-52/Us-311/Nc-8] Winston-Salem NC 27127,+,+,-,-,-,-,-,3,8,17,0.6,-33,0,0,3165,Serial,36.0723888,-80.2286556,Moving,33,2
TX,11 secs,2020-03-10 11:57.12am,2020-03-10 11:57.23am,64,John M Gold Fwy [Us-52/Us-311/Nc-8] Winston-Salem NC 27101,+,+,-,-,-,-,-,3,8,16,0.6,-52,0,0,3164,Serial,36.100493,-80.2360532,Moving,33,2
TX,13 secs,2020-03-10 11:55.11am,2020-03-10 11:55.24am,60,John M Gold Fwy [Us-52/Nc-8] Winston-Salem NC 27105,+,+,-,-,-,-,-,3,8,17,0.6,-47,0,0,3163,Serial,36.1288976,-80.2348127,Moving,34,2
TX,13 secs,2020-03-10 11:53.11am,2020-03-10 11:53.24am,59,John M Gold Fwy [Us-52/Nc-8] Winston-Salem NC 27105,+,+,-,-,-,-,-,3,8,17,0.6,-67,0,0,3162,Serial,36.1534344,-80.2515389,Moving,35,2
TX,13 secs,2020-03-10 11:51.11am,2020-03-10 11:51.24am,67,John M Gold Fwy [Us-52] Winston-Salem NC 27105,+,+,-,-,-,-,-,3,8,17,0.6,-47,0,0,3161,Serial,36.179771,-80.2731575,Moving,38,2
TX,12 secs,2020-03-10 11:49.11am,2020-03-10 11:49.23am,68,John M Gold Fwy [Us-52] Winston-Salem NC 27105,+,+,-,-,-,-,-,3,8,17,0.6,-62,0,0,3160,Serial,36.2057804,-80.2993185,Moving,37,2
TX,8 secs,2020-03-10 11:47.16am,2020-03-10 11:47.24am,68,John M Gold Fwy [Us-52] Rural Hall NC 27045,+,+,-,-,-,-,-,3,8,18,0.6,-79,0,0,3159,Serial,36.2300424,-80.3268245,Moving,39,2
TX,19 secs,2020-03-10 11:45.43am,2020-03-10 11:45.24am,71,John M Gold Fwy [Us-52] King NC 27021,+,+,-,-,-,-,-,3,8,16,0.6,-70,0,0,3158,Serial,36.2533427,-80.3580535,Moving,37,2
TX,9 secs,2020-03-10 11:43.15am,2020-03-10 11:43.24am,72,Us-52 King NC 27021,+,+,-,-,-,-,-,3,8,17,0.6,-54,0,0,3157,Serial,36.2787741,-80.3853195,Moving,38,2
TX,9 secs,2020-03-10 11:41.15am,2020-03-10 11:41.24am,60,Us-52 King NC 27021,+,+,-,-,-,-,-,3,8,18,0.6,-78,0,0,3156,Serial,36.3014763,-80.4152341,Moving,36,2
TX,9 secs,2020-03-10 11:39.15am,2020-03-10 11:39.24am,64,Us-52 Pinnacle NC 27043,+,+,-,-,-,-,-,3,8,18,0.6,-71,0,0,3155,Serial,36.3227529,-80.4468346,Moving,37,2
TX,9 secs,2020-03-10 11:37.15am,2020-03-10 11:37.24am,64,Pilot Mountain Pkwy [Us-52] Pinnacle NC 27043,+,+,-,-,-,-,-,3,8,16,0.6,-63,0,0,3154,Serial,36.3510945,-80.467843,Moving,36,2
TX,9 secs,2020-03-10 11:35.15am,2020-03-10 11:35.24am,66,Pilot Mountain Pkwy [Us-52] Pilot Mountain NC 27041,+,+,-,-,-,-,-,3,8,18,0.6,-60,0,0,3153,Serial,36.3781553,-80.4878469,Moving,37,2
TX,8 secs,2020-03-10 11:33.16am,2020-03-10 11:33.24am,69,Pilot Mountain Pkwy [Us-52] Pilot Mountain NC 27041,+,+,-,-,-,-,-,3,8,18,0.6,-52,0,0,3152,Serial,36.4087445,-80.4999276,Moving,38,2
TX,13 secs,2020-03-10 11:31.10am,2020-03-10 11:31.23am,72,Pilot Mountain Pkwy [Us-52] Pilot Mountain NC 27041,+,+,-,-,-,-,-,3,8,18,0.6,-62,0,0,3151,Serial,36.4332733,-80.5295553,Moving,38,2
TX,13 secs,2020-03-10 11:29.10am,2020-03-10 11:29.23am,72,C Richard Vaughn Hwy [I-74] Mt Airy NC 27030,+,+,-,-,-,-,-,3,8,19,0.6,-56,0,0,3150,Serial,36.4430849,-80.5638567,Moving,38,2
TX,9 secs,2020-03-10 11:27.15am,2020-03-10 11:27.24am,71,C Richard Vaughn Hwy [I-74] Mt Airy NC 27030,+,+,-,-,-,-,-,3,8,18,0.6,-34,0,0,3149,Serial,36.4435315,-80.605789,Moving,39,2
TX,13 secs,2020-03-10 11:25.10am,2020-03-10 11:25.23am,72,C Richard Vaughn Hwy [I-74] Mt Airy NC 27030,+,+,-,-,-,-,-,3,8,18,0.6,-56,0,0,3148,Serial,36.4595684,-80.6439689,Moving,39,2
TX,25 secs,2020-03-10 11:23.49am,2020-03-10 11:23.24am,74,C Richard Vaughn Hwy [I-74] Mt Airy NC 27030,+,+,-,-,-,-,-,3,8,15,0.6,-64,0,0,3147,Serial,36.4688368,-80.6852454,Moving,39,2
TX,13 secs,2020-03-10 11:21.10am,2020-03-10 11:21.23am,69,C Richard Vaughn Hwy [I-74] Mt Airy NC 27030,+,+,-,-,-,-,-,3,8,17,0.6,-61,0,0,3146,Serial,36.48734,-80.7222251,Moving,39,2
TX,9 secs,2020-03-10 11:19.15am,2020-03-10 11:19.24am,72,Charles M Shelton Pkwy [I-74/I-77] Mt Airy NC 27030,+,+,-,-,-,-,-,3,8,18,0.6,-70,0,0,3145,Serial,36.5113189,-80.7422679,Moving,36,2
TX,9 secs,2020-03-10 11:17.15am,2020-03-10 11:17.24am,64,Charles M Shelton Pkwy [I-74/I-77] Lowgap NC 27024,+,+,-,-,-,-,-,3,8,17,0.6,-52,0,0,3144,Serial,36.5425747,-80.7483994,Moving,38,2
TX,9 secs,2020-03-10 11:15.15am,2020-03-10 11:15.24am,75,I-77 Lambsburg VA 24351,+,+,-,-,-,-,-,3,8,17,0.6,-71,0,0,3143,Serial,36.5753728,-80.7434883,Moving,39,2
TX,13 secs,2020-03-10 11:13.10am,2020-03-10 11:13.23am,69,I-77 Cana VA 24317,+,+,-,-,-,-,-,3,8,15,0.6,-55,0,0,3142,Serial,36.6076143,-80.737173,Moving,38,2
TX,15 secs,2020-03-10 11:11.08am,2020-03-10 11:11.23am,66,I-77 Fancy Gap VA 24328,+,+,-,-,-,-,-,3,8,16,0.6,-64,0,0,3141,Serial,36.635068,-80.7212997,Moving,35,2
TX,13 secs,2020-03-10 11:09.10am,2020-03-10 11:09.23am,69,I-77 Fancy Gap VA 24328,+,+,-,-,-,-,-,3,8,18,0.6,-56,0,0,3140,Serial,36.6616648,-80.7089495,Moving,37,2
TX,14 secs,2020-03-10 11:07.10am,2020-03-10 11:07.24am,69,I-77 Fancy Gap VA 24328,+,+,-,-,-,-,-,3,8,18,0.6,-79,0,0,3139,Serial,36.6887806,-80.7263811,Moving,34,2
TX,15 secs,2020-03-10 11:05.08am,2020-03-10 11:05.23am,64,I-77 Hillsville VA 24343,+,+,-,-,-,-,-,3,8,19,0.6,-75,0,0,3138,Serial,36.7147511,-80.7446,Moving,36,2
TX,14 secs,2020-03-10 11:03.10am,2020-03-10 11:03.24am,66,I-77 Hillsville VA 24343,+,+,-,-,-,-,-,3,8,15,0.6,-79,0,0,3137,Serial,36.7394542,-80.7693796,Moving,37,2
TX,35 secs,2020-03-10 11:01.59am,2020-03-10 11:01.24am,67,I-77 Hillsville VA 24343,+,+,-,-,-,-,-,3,8,17,0.6,-78,0,0,3136,Serial,36.7623724,-80.7961481,Moving,38,2
TX,14 secs,2020-03-10 10:59.09am,2020-03-10 10:59.23am,63,I-77 Hillsville VA 24343,+,+,-,-,-,-,-,3,8,18,0.6,-66,0,0,3135,Serial,36.7826043,-80.8301196,Moving,35,2
TX,15 secs,2020-03-10 10:57.09am,2020-03-10 10:57.24am,58,I-77 Austinville VA 24312,+,+,-,-,-,-,-,3,8,15,0.8,-54,0,0,3134,Serial,36.8072122,-80.8535608,Moving,33,2
TX,10 secs,2020-03-10 10:55.14am,2020-03-10 10:55.24am,68,I-77 Austinville VA 24312,+,+,-,-,-,-,-,3,8,11,0.8,-60,0,0,3133,Serial,36.8357522,-80.8545049,Moving,37,2
TX,15 secs,2020-03-10 10:53.09am,2020-03-10 10:53.24am,68,I-77 Austinville VA 24312,+,+,-,-,-,-,-,3,8,15,0.6,-41,0,0,3132,Serial,36.8656414,-80.8718883,Moving,37,2
TX,7 secs,2020-03-10 10:51.17am,2020-03-10 10:51.24am,66,I-77 Max Meadows VA 24360,+,+,-,-,-,-,-,3,8,14,0.8,-76,0,0,3131,Serial,36.8983349,-80.8756581,Moving,36,2
TX,16 secs,2020-03-10 10:49.07am,2020-03-10 10:49.23am,68,I-77 Max Meadows VA 24360,+,+,-,-,-,-,-,3,8,15,0.6,-73,0,0,3130,Serial,36.922397,-80.9023703,Moving,37,2
TX,15 secs,2020-03-10 10:47.09am,2020-03-10 10:47.24am,64,I-81 [I-81/Us-11] Max Meadows VA 24360,+,+,-,-,-,-,-,3,8,19,0.6,-58,0,0,3129,Serial,36.9483755,-80.9250779,Moving,38,2
TX,14 secs,2020-03-10 10:45.09am,2020-03-10 10:45.23am,69,I-77 [I-77/I-81/Us-11/Us-52] Wytheville VA 24382,+,+,-,-,-,-,-,3,8,17,0.6,-39,0,0,3128,Serial,36.9425913,-80.9673884,Moving,37,2
TX,15 secs,2020-03-10 10:43.09am,2020-03-10 10:43.24am,69,I-77 [I-77/I-81/Us-11/Us-52] Wytheville VA 24382,+,+,-,-,-,-,-,3,8,17,0.6,-72,0,0,3127,Serial,36.9404027,-81.0064896,Moving,36,2
