G,"Point Latency","Time Received","Time Captured",MPH,Address,I0,"Engine On",I1,I2,I3,I4,I5,GPS,"Event Code",Sat,HDOP,RSSI,C,F,Seq,Index,"Lat, Lon","Triggered By","Δ Odo hm","Δ Eng min"
"LA","8 secs","2020-03-12 11:31.38am","2020-03-12 11:31.30am",1,"2555 E Jennings Way Elko NV 89801","+","+","-","-","-","-","-",3,2,14,"0.6","-50",0,0,504,"Serial","40.8532362,-115.7490619","Stopped Moving",1,1
"LA","8 secs","2020-03-12 11:30.33am","2020-03-12 11:30.25am",14,"2008 Rudy Vista Dr Elko NV 89801","+","+","-","-","-","-","-",3,8,15,"0.6","-39",0,0,503,"Serial","40.8529264,-115.7495729","Moving",9,2
"LA","7 secs","2020-03-12 11:29.03am","2020-03-12 11:28.56am",9,"E Jennings Way [I-80-Bl/Nv-535] Elko NV 89801","+","+","-","-","-","-","-",3,5,15,"0.6","-47",0,0,502,"Serial","40.8510395,-115.745453","Started Moving",0,0
"LA","7 secs","2020-03-12 11:28.53am","2020-03-12 11:28.46am",1,"3019 Idaho St Elko NV 89801","+","+","-","-","-","-","-",3,2,13,"0.8","-51",0,0,501,"Serial","40.8511065,-115.7451942","Stopped Moving",0,0
"LA","5 secs","2020-03-12 11:28.43am","2020-03-12 11:28.38am",18,"3019 Idaho St Elko NV 89801","+","+","-","-","-","-","-",3,3,14,"0.6","-51",0,0,500,"Serial","40.851411,-115.7448964","Roll",1,0
"LA","7 secs","2020-03-12 11:28.33am","2020-03-12 11:28.26am",9,"3019 Idaho St Elko NV 89801","+","+","-","-","-","-","-",3,8,15,"0.6","-56",0,0,499,"Serial","40.8520239,-115.7443506","Moving",1,1
"LA","5 secs","2020-03-12 11:28.13am","2020-03-12 11:28.08am",9,"3019 Idaho St Elko NV 89801","+","+","-","-","-","-","-",3,5,15,"0.6","-59",0,0,498,"Serial","40.8524597,-115.74471","Started Moving",1,1
"LA","7 secs","2020-03-12 11:26.33am","2020-03-12 11:26.26am",0," Elko NV 89801","+","+","-","-","-","-","-",3,0,11,"0.8","-52",0,0,497,"Serial","40.8524275,-115.7454369","",0,0
"LA","8 secs","2020-03-12 11:26.33am","2020-03-12 11:26.25am",0," Elko NV 89801","+","+","-","-","-","-","-",3,37,11,"0.8","-52",0,0,496,"Serial","40.8524275,-115.7454369","Ignition On",0,0
"LA","4 secs","2020-03-12 11:22.17am","2020-03-12 11:22.13am",0," Elko NV 89801","-","-","-","-","-","-","-",3,0,12,"0.8","-48",0,0,495,"Serial","40.8524262,-115.7454677","",0,0
"LA","4 secs","2020-03-12 11:20.18am","2020-03-12 11:20.14am",0," Elko NV 89801","-","-","-","-","-","-","-",3,0,12,"0.8","-42",0,0,494,"Serial","40.8524047,-115.745461","",0,0
"LA","5 secs","2020-03-12 11:18.18am","2020-03-12 11:18.13am",0," Elko NV 89801","-","-","-","-","-","-","-",3,38,12,"0.8","-52",0,0,493,"Serial","40.8524222,-115.7454637","Ignition Off",0,1
"LA","4 secs","2020-03-12 11:17.22am","2020-03-12 11:17.18am",0," Elko NV 89801","+","+","-","-","-","-","-",3,0,12,"0.8","-47",0,0,492,"Serial","40.8524383,-115.7454637","",0,0
"LA","5 secs","2020-03-12 11:17.22am","2020-03-12 11:17.17am",0," Elko NV 89801","+","+","-","-","-","-","-",3,37,13,"0.8","-47",0,0,491,"Serial","40.8524383,-115.7454637","Ignition On",0,0
"LA","16 secs","2020-03-12 11:15.39am","2020-03-12 11:15.23am",0," Elko NV 89801","-","-","-","-","-","-","-",3,38,10,1,"-45",0,0,490,"Serial","40.852445,-115.7454557","Ignition Off",0,0
"LA","20 secs","2020-03-12 11:15.37am","2020-03-12 11:15.17am",0," Elko NV 89801","+","+","-","-","-","-","-",3,0,10,1,"-41",0,0,489,"Serial","40.852445,-115.7454557","",2,2
"LA","6 secs","2020-03-12 11:13.23am","2020-03-12 11:13.17am",3,"3019 Idaho St Elko NV 89801","+","+","-","-","-","-","-",3,0,15,"0.6","-45",0,0,488,"Serial","40.8516591,-115.7449085","",1,0
"LA","4 secs","2020-03-12 11:13.07am","2020-03-12 11:13.03am",1,"3019 Idaho St Elko NV 89801","+","+","-","-","-","-","-",3,2,15,"0.6","-47",0,0,487,"Serial","40.851529,-115.7447637","Stopped Moving",15,3
"LA","5 secs","2020-03-12 11:11.22am","2020-03-12 11:11.17am",25,"1430 Idaho St [I-80-Bl/Nv-535] Elko NV 89801","+","+","-","-","-","-","-",3,8,15,"0.6","-52",0,0,486,"Serial","40.8397112,-115.7548367","Moving",5,1
"LA","5 secs","2020-03-12 11:10.27am","2020-03-12 11:10.22am",9,"12th St Elko NV 89801","+","+","-","-","-","-","-",3,5,15,"0.6","-35",0,0,485,"Serial","40.8368694,-115.754783","Started Moving",0,0
"LA","5 secs","2020-03-12 11:09.52am","2020-03-12 11:09.47am",0,"Silver St Elko NV 89801","+","+","-","-","-","-","-",3,2,15,"0.6","-39",0,0,484,"Serial","40.8364536,-115.7550057","Stopped Moving",3,1
"LA","5 secs","2020-03-12 11:09.22am","2020-03-12 11:09.17am",24,"952 Silver St Elko NV 89801","+","+","-","-","-","-","-",3,8,15,"0.6","-59",0,0,483,"Serial","40.8347142,-115.7569771","Moving",5,1
"LA","11 secs","2020-03-12 11:08.37am","2020-03-12 11:08.26am",9,"558 Silver St Elko NV 89801","+","+","-","-","-","-","-",3,5,15,"0.6","-46",0,0,482,"Serial","40.8313266,-115.7610326","Started Moving",1,1
"LA","8 secs","2020-03-12 11:07.52am","2020-03-12 11:07.44am",1,"Silver St Elko NV 89801","+","+","-","-","-","-","-",3,2,14,"0.6","-55",0,0,481,"Serial","40.8310999,-115.7613223","Stopped Moving",0,0
"LA","10 secs","2020-03-12 11:07.47am","2020-03-12 11:07.37am",12,"405 Silver St Elko NV 89801","+","+","-","-","-","-","-",3,3,14,"0.6","-52",0,0,480,"Serial","40.8309202,-115.7614685","Roll",1,0
"LA","11 secs","2020-03-12 11:07.32am","2020-03-12 11:07.21am",9,"390 Silver St Elko NV 89801","+","+","-","-","-","-","-",3,5,14,"0.6","-52",0,0,479,"Serial","40.8302698,-115.7622597","Started Moving",0,1
"LA","9 secs","2020-03-12 11:07.12am","2020-03-12 11:07.03am",3,"351 Silver St Elko NV 89801","+","+","-","-","-","-","-",3,0,14,"0.6","-61",0,0,478,"Serial","40.8299949,-115.7624126","",0,0
"LA","10 secs","2020-03-12 11:07.12am","2020-03-12 11:07.02am",3,"351 Silver St Elko NV 89801","+","+","-","-","-","-","-",3,37,14,"0.6","-61",0,0,477,"Serial","40.8299828,-115.7623925","Ignition On",0,0
