G,Point Latency,Time Received,Time Captured,MPH,Address,I0,Engine On,I1,I2,I3,I4,I5,GPS,Event Code,Sat,HDOP,RSSI,C,F,Seq,Index,"Lat, Lon",Triggered By,Δ Odo hm,Δ Eng min
LA,5 secs,2020-02-14 1:54.09pm,2020-02-14 1:54.04pm,74,I-75 [I-75/Ga-401] Jackson GA 30233,+,+,-,-,-,-,-,3,8,15,0.6,-74,0,0,2073,Serial,"33.1632312,-84.0388652",Moving,39,2
LA,6 secs,2020-02-14 1:52.10pm,2020-02-14 1:52.04pm,60,I-75 [I-75/Ga-401] Milner GA 30257,+,+,-,-,-,-,-,3,8,16,0.6,-62,0,0,2072,Serial,"33.1937024,-84.0587082",Moving,38,2
LA,5 secs,2020-02-14 1:50.10pm,2020-02-14 1:50.05pm,69,I-75 [I-75/Ga-401] Jackson GA 30233,+,+,-,-,-,-,-,3,8,15,0.6,-75,0,0,2071,Serial,"33.2244124,-84.0744045",Moving,23,2
LA,5 secs,2020-02-14 1:48.10pm,2020-02-14 1:48.05pm,25,I-75 [I-75/Ga-401] Jackson GA 30233,+,+,-,-,-,-,-,3,8,14,0.8,-48,0,0,2070,Serial,"33.243157,-84.0839733",Moving,36,2
LA,19 secs,2020-02-14 1:46.24pm,2020-02-14 1:46.05pm,71,I-75 [I-75/Ga-401] Jackson GA 30233,+,+,-,-,-,-,-,3,8,14,0.8,-48,0,0,2069,Serial,"33.272086,-84.1026937",Moving,40,2
LA,4 secs,2020-02-14 1:44.09pm,2020-02-14 1:44.05pm,74,I-75 [I-75/Ga-401] Locust Grove GA 30248,+,+,-,-,-,-,-,3,8,16,0.6,-60,0,0,2068,Serial,"33.3059328,-84.1144204",Moving,39,2
LA,5 secs,2020-02-14 1:42.10pm,2020-02-14 1:42.05pm,71,I-75 [I-75/Ga-401] Locust Grove GA 30248,+,+,-,-,-,-,-,3,8,16,0.6,-55,0,0,2067,Serial,"33.3404528,-84.1233012",Moving,40,2
LA,24 secs,2020-02-14 1:40.29pm,2020-02-14 1:40.05pm,69,I-75 [I-75/Ga-401] Locust Grove GA 30248,+,+,-,-,-,-,-,3,8,15,0.6,-63,0,0,2066,Serial,"33.373857,-84.1367149",Moving,37,2
LA,13 secs,2020-02-14 1:38.17pm,2020-02-14 1:38.04pm,74,I-75 [I-75/Ga-401] McDonough GA 30253,+,+,-,-,-,-,-,3,8,17,0.6,-61,0,0,2065,Serial,"33.4038012,-84.1534197",Moving,38,2
LA,6 secs,2020-02-14 1:36.10pm,2020-02-14 1:36.04pm,72,I-75 [I-75/Ga-401] McDonough GA 30253,+,+,-,-,-,-,-,3,8,18,0.6,-57,0,0,2064,Serial,"33.4283797,-84.1829843",Moving,37,2
LA,53 secs,2020-02-14 1:34.58pm,2020-02-14 1:34.05pm,69,I-75 [I-75/Ga-401] McDonough GA 30253,+,+,-,-,-,-,-,3,8,19,0.6,-58,0,0,2063,Serial,"33.4546184,-84.2061774",Moving,32,2
LA,4 secs,2020-02-14 1:32.09pm,2020-02-14 1:32.05pm,64,I-75 [I-75/Ga-401] McDonough GA 30253,+,+,-,-,-,-,-,3,8,17,0.6,-43,0,0,2062,Serial,"33.4817784,-84.217377",Moving,23,2
LA,5 secs,2020-02-14 1:30.09pm,2020-02-14 1:30.04pm,23,I-75 [I-75/Ga-401] Stockbridge GA 30281,+,+,-,-,-,-,-,3,8,17,0.6,-69,0,0,2061,Serial,"33.5008154,-84.2266225",Moving,17,2
LA,7 secs,2020-02-14 1:28.12pm,2020-02-14 1:28.05pm,24,I-75 [I-75/Ga-401] Stockbridge GA 30281,+,+,-,-,-,-,-,3,8,18,0.6,-69,0,0,2060,Serial,"33.511901,-84.238616",Moving,16,2
LA,7 secs,2020-02-14 1:26.12pm,2020-02-14 1:26.05pm,44,I-75 [I-75/Ga-401] Stockbridge GA 30281,+,+,-,-,-,-,-,3,8,18,0.6,-67,0,0,2059,Serial,"33.5227465,-84.2504338",Moving,17,2
LA,8 secs,2020-02-14 1:24.12pm,2020-02-14 1:24.04pm,26,I-75 [I-75/Ga-401] Stockbridge GA 30281,+,+,-,-,-,-,-,3,8,16,0.6,-62,0,0,2058,Serial,"33.5341123,-84.261624",Moving,30,2
LA,6 secs,2020-02-14 1:22.10pm,2020-02-14 1:22.04pm,74,I-75 [I-75/Ga-401] Jonesboro GA 30236,+,+,-,-,-,-,-,3,8,17,0.6,-45,0,0,2057,Serial,"33.5501238,-84.2870621",Moving,39,2
LA,6 secs,2020-02-14 1:20.10pm,2020-02-14 1:20.04pm,71,I-75 [I-75/Ga-401] Morrow GA 30260,+,+,-,-,-,-,-,3,8,18,0.6,-61,0,0,2056,Serial,"33.5672939,-84.3238741",Moving,38,2
LA,8 secs,2020-02-14 1:18.12pm,2020-02-14 1:18.04pm,60,I-75 [I-75/Ga-401] Forest Park GA 30297,+,+,-,-,-,-,-,3,8,18,0.6,-74,0,0,2055,Serial,"33.5806983,-84.3606297",Moving,17,1
LA,7 secs,2020-02-14 1:16.50pm,2020-02-14 1:16.43pm,10,Old Dixie Rd [Us-19/Us-41/Ga-3] Jonesboro GA 30236,+,+,-,-,-,-,-,3,5,17,0.6,-54,0,0,2054,Serial,"33.5844681,-84.3780051",Started Moving,1,1
LA,6 secs,2020-02-14 1:16.10pm,2020-02-14 1:16.04pm,0,Old Dixie Rd [Us-19/Us-41/Ga-3] Jonesboro GA 30236,+,+,-,-,-,-,-,3,0,17,0.6,-45,0,0,2053,Serial,"33.5846304,-84.3780775",,0,0
LA,9 secs,2020-02-14 1:15.56pm,2020-02-14 1:15.47pm,1,Old Dixie Rd [Us-19/Us-41/Ga-3] Jonesboro GA 30236,+,+,-,-,-,-,-,3,2,18,0.6,-38,0,0,2052,Serial,"33.5846264,-84.3780829",Stopped Moving,7,1
LA,6 secs,2020-02-14 1:14.41pm,2020-02-14 1:14.35pm,9,5993 Old Dixie Hwy [Us-19/Us-41/Ga-3] Forest Park GA 30297,+,+,-,-,-,-,-,3,5,18,0.6,-52,0,0,2051,Serial,"33.5911254,-84.3770073",Started Moving,1,1
LA,8 secs,2020-02-14 1:14.30pm,2020-02-14 1:14.22pm,1,5991 Old Dixie Hwy [Us-19/Us-41/Ga-3] Forest Park GA 30297,+,+,-,-,-,-,-,3,2,19,0.6,-49,0,0,2050,Serial,"33.5913614,-84.3769832",Stopped Moving,1,0
LA,5 secs,2020-02-14 1:14.09pm,2020-02-14 1:14.04pm,41,5977 Old Dixie Rd [Us-19/Us-41/Ga-3] Forest Park GA 30297,+,+,-,-,-,-,-,3,8,18,0.6,-53,0,0,2049,Serial,"33.5927535,-84.3769671",Moving,21,2
LA,39 secs,2020-02-14 1:12.43pm,2020-02-14 1:12.04pm,6,220 Agnew Dr Forest Park GA 30297,+,+,-,-,-,-,-,3,8,18,0.6,-72,0,0,2048,Serial,"33.6109147,-84.3817401",Moving,6,2
